"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in EUR, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Sales tax collected: includes sales tax collected from buyers for product sales, shipping and giftwrap."
"Selling fees: includes variable closing fees and referral fees."
"Other transaction fees: includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"Note: Reports with a start date of 1 Jan 2025 or later are indexed by the posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","giftwrap credits","promotional rebates","sales tax collected","Marketplace facilitator tax","selling fees","FBA fees","other transaction fees","other","total","Transaction status","Transaction Release Date"
"7 Apr 2026 01:04:45 UTC","26758612512","Order","408-6992170-4264308","311003-4-EU","VIVOSUN Gardening Scissors 17cm Hand Pruner Pruning Shear with Straight Blades and Titanium Non-Stick Coating Rose Scissors Orange","1","amazon.ie","Amazon","Thomastown","Kilkenny","","7.63","0.41","0","-0.41","1.75","-1.75","-1.41","-2.33","0","0","3.89","Released","7 Apr 2026 01:04:45 UTC"
"12 Apr 2026 17:42:06 UTC","26846488342","Transfer","","","To account ending with: 064","","","","","","","0","0","0","0","0","0","0","0","0","-135.09","-135.09","Released","12 Apr 2026 17:42:06 UTC"
"26 Apr 2026 18:09:16 UTC","26929813802","Transfer","","","To account ending with: 064","","","","","","","0","0","0","0","0","0","0","0","0","-3.89","-3.89","Released","26 Apr 2026 18:09:16 UTC"
