"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"data/ora: data e ora della transazione pubblicata"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Nota: i report con data di inizio del 1° gennaio 2025 o successiva sono indicizzati in base alla data di pubblicazione, includono sia le transazioni di rilascio che quelle differite e contengono due nuove colonne. Potrebbe essere necessario aggiornare le integrazioni o le associazioni di terzi."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale","Stato della transazione","Data di rilascio della transazione"
"1 apr 2026 01:11:49 UTC","26822013862","Ordine","402-4058808-6221160","VSE-UH075-EU-M","VIVOSUN AeroStream U075 Umidificatore, Mini Umidificatore a Nebbia Fredda da 750ml con 2 modalità di Nebbia, Spegnimento Automatico, Controllo Intell","1","amazon.it","Venditore","Napoli","Napoli","80128","MarketplaceFacilitator","30,32","6,67","0","0","0","0","0","0","-6,67","-5,55","0","-0,17","0","24,60","Emesso","14 apr 2026 22:45:16 UTC"
"1 apr 2026 01:19:23 UTC","26822013862","Ordine","407-5884016-6985941","330101NJ-EU-M","VIVOSUN Tappetino Riscaldante per Piantine 52x122cm, Riscaldatore Pianta Sicuro e Durevole, Certificato UL e MET, IP67 Impermeabile, per Idroponica, B","1","amazon.it","Venditore","San Giovanni Valdarno","Arezzo","52027","MarketplaceFacilitator","15,57","3,42","0","0","0","0","0","0","-3,42","-2,85","0","-0,09","0","12,63","Emesso","16 apr 2026 22:38:22 UTC"
"1 apr 2026 02:27:36 UTC","26822013862","Ordine","405-7784333-2393150","VSV-AZS6-EU","VIVOSUN Ventilatore da Condotto AeroZesh S6 150 mm 688 m³/h Estrazione con Regolatore Velocità E12 PWM Programmabile per Tende Coltivazione e Sistem","1","amazon.it","Amazon","Eppan","Bozen","39057","","108,39","0","0","0","0","0","0","0","0","-16,26","-16,67","0","0","75,46","Emesso","9 apr 2026 18:24:38 UTC"
"1 apr 2026 05:20:03 UTC","26732740482","Modifica","","VSV-AZS6E42A-EU","Rimborso inventario Logistica di Amazon. Smarrito in magazzino","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","39,31","39,31","Emesso","1 apr 2026 05:20:03 UTC"
"1 apr 2026 07:56:18 UTC","26822013862","Ordine","404-6759841-2364309","332022-EU","VIVOSUN Lente di Ingrandimento per Gioielliere 30X e 60X con LED, Pieghevoli in Alluminio e Plastica - per Ispezioni di Diamanti, Gioielli, Monete, Fr","1","amazon.it","Amazon","veroli","FR","03029","MarketplaceFacilitator","15,57","3,42","1,39","0,30","0","0","-1,39","-0,30","-3,42","-1,52","-6,09","-0,05","0","7,91","Emesso","10 apr 2026 23:21:11 UTC"
"1 apr 2026 07:56:22 UTC","26822013862","Ordine","407-8964136-1502706","304113-2014-EU","VIVOSUN Piccola Tenda daColtivazione per Aerogarden,Sistema di Coltivazione Idroponica, 50x36x54cm, Altamente Riflettente, in mylar, con finestra di V","1","amazon.it","Amazon","Torino","Torino","10147","MarketplaceFacilitator","37,70","8,29","0","0","0","0","0","0","-8,29","-6,90","-13,22","-0,21","0","17,37","Emesso","14 apr 2026 22:38:57 UTC"
"1 apr 2026 08:44:07 UTC","26822013862","Ordine","171-9369006-2530713","VSI-FFD2-EU","VIVOSUN FlexFeed Kit Professionale di Irrigazione a Goccia Automatica, Sistema Controllabile Via App con Pompa e 4 Emetitori a Goccia per Piante","1","amazon.it","Amazon","Ottrott","","67530","MarketplaceFacilitator","20,48","4,10","2,07","0,42","0","0","0","0","-4,52","-3,75","-8,81","-0,11","0","9,88","Emesso","14 apr 2026 21:30:48 UTC"
"1 apr 2026 09:50:09 UTC","26822013862","Ordine","405-5752329-6179544","304113-NEW-3018-EU","VIVOSUN Tenda da Coltivazione 75x45x90cm, in Mylar ad Alta Riflettenza, con Finestra di Osservazione e Vassoio da Pavimento, per Piante Idroponiche da","1","amazon.it","Venditore","Modica","Ragusa","97015","MarketplaceFacilitator","55,32","12,17","0","0","0","0","0","0","-12,17","-10,12","0","-0,30","0","44,90","Emesso","16 apr 2026 18:49:57 UTC"
"1 apr 2026 18:11:21 UTC","26822013862","Ordine","402-0929320-7373919","VSF-AWD4-EU","VIVOSUN Ventilatore Da 10 cm AeroWave D4, Con Gancio Removibile, Flusso Potente E Silenzioso, 3 Velocità, Angolo Aggiustabile, Per Idroponica, Circol","1","amazon.it","Amazon","San Donà di Piave","Venezia","30027","MarketplaceFacilitator","22,94","5,05","0","0","0","0","0","0","-5,05","-4,20","-7,05","-0,13","0","11,56","Emesso","10 apr 2026 11:13:08 UTC"
"2 apr 2026 00:52:00 UTC","26822013862","Ordine","407-4998702-2659515","311001-25x5-EU-M","VIVOSUN 5-Pack 25 Gallon Plant Grow Bags, vasi in tessuto non tessuto addensato per impieghi gravosi con maniglie","1","amazon.it","Venditore","Roma","RM","00141","MarketplaceFacilitator","25,40","5,59","0","0","0","0","0","0","-5,59","-4,65","0","-0,14","0","20,61","Emesso","16 apr 2026 20:49:55 UTC"
