"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"date/heure : date/heure postée de la transaction"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"Remarque : les rapports dont la date de début est le 1er janvier 2025 ou une date ultérieure sont indexés par date publiée. Ils incluent à la fois les transactions effectuées et les transactions différées, et disposent de deux nouvelles colonnes. Vous devrez peut-être mettre à jour des intégrations ou des mappages tiers."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total","Statut de la transaction","Date de sortie de la transaction"
"1 avr. 2026 09:26:12 UTC","26821642572","Commande","171-4628344-2733901","330301-EU-M","VIVOSUN Tapis Chauffant pour Semis 25x52cm, avec Régulateur de Température Intégré, Tapis Chauffant étanche Certifié UL et MET pour Intérieur S","1","amazon.fr","Vendeur","Carrieres Sous Poissy","","78955","MarketplaceFacilitator","29,99","6,00","0","0","0","0","0","0","-6,00","-5,40","0","-0,16","0","24,43","Sorti","15 avr. 2026 08:01:42 UTC"
"1 avr. 2026 09:49:48 UTC","26821642572","Commande","402-6024059-4246736","306201PVC-4-EU-M","VIVOSUN Ventilateur en Ligne 100mm Extraction 323m³/h avec Régulateur Vitesse Filtre à Charbon 100mm Conduit 240cm Mesureur Température Humidité","1","amazon.fr","Vendeur","jussey","haute-saone","70500","MarketplaceFacilitator","95,82","19,17","0","0","0","0","0","0","-19,17","-17,25","0","-0,52","0","78,05","Sorti","10 avr. 2026 12:51:05 UTC"
"1 avr. 2026 10:02:28 UTC","26821642572","Commande","403-6076482-8757945","VSF-AWD4x2-EU","VIVOSUN AeroWave D4 Ventilateur de Culture Oscillant 100mm, Ventilateur à Pince avec Crochet, 3 Vitesses, Flux d'Air Puissant & Silencieux, pour Grow","1","amazon.fr","Amazon","Arcachon","","33120","MarketplaceFacilitator","37,49","7,50","0","0","0","0","0","0","-7,50","-6,75","-5,89","-0,38","0","24,47","Sorti","9 avr. 2026 21:44:49 UTC"
"1 avr. 2026 10:09:16 UTC","26821642572","Commande","406-3172511-6423528","306146-0412-EU","VIVOSUN Filtre à Charbon Actif 100mm pour Contrôle Odeurs Charbon Vierge d'Australie pour Ventilateur en Ligne, Epurateur Odeurs pour Tente de Cultu","1","amazon.fr","Amazon","Montpellier","","34080","MarketplaceFacilitator","46,61","9,32","0","0","0","0","0","0","-9,32","-8,39","-6,90","-0,46","0","30,86","Sorti","9 avr. 2026 23:56:44 UTC"
"1 avr. 2026 10:35:57 UTC","26821642572","Commande","406-3172511-6423528","VSV-AZT4-EU","VIVOSUN Ventilateur Conduit AeroZesh T4 100 mm 357 m³/h Ventilateur Extraction E12 Régulateur Vitesse PWM Programmables Tentes Culture Ventilation I","1","amazon.fr","Amazon","Montpellier","","34080","MarketplaceFacilitator","95,82","19,17","0","0","0","0","0","0","-19,17","-17,25","-9,18","-0,80","0","68,59","Sorti","9 avr. 2026 23:11:00 UTC"
"1 avr. 2026 11:34:08 UTC","26821642572","Commande","171-3070195-0121922","VSI-FFD2-EU","VIVOSUN Flexfeed Kit D'Irrigation Goutte Système D'Irrigation Automatique 4 W avec Pompe et 4 Émetteurs, Kit D'Arrosage Professionnel Contrôlable p","1","amazon.fr","Amazon","Avon","","77210","MarketplaceFacilitator","21,66","4,33","0","0","0","0","0","0","-4,33","-3,90","-4,72","-0,26","0","12,78","Sorti","10 avr. 2026 07:59:14 UTC"
"1 avr. 2026 12:13:06 UTC","26821642572","Commande","171-0340042-0778729","VSI-VGDWC15-EU-N1","VIVOSUN VGrow DWC Système Hydroponique 15L, Uniquement pour la VGrow Tente de Culture, Non Compatible avec E42A/E42A+, Non Adapté pour la Tente de C","1","amazon.fr","Amazon","Avon","","77210","MarketplaceFacilitator","108,32","21,67","0","0","0","0","0","0","-21,67","-19,50","-12,69","-0,97","0","75,16","Sorti","10 avr. 2026 21:06:54 UTC"
"1 avr. 2026 17:52:02 UTC","26821642572","Commande","406-5795576-8325158","VSF-AWD4x2-EU","VIVOSUN AeroWave D4 Ventilateur de Culture Oscillant 100mm, Ventilateur à Pince avec Crochet, 3 Vitesses, Flux d'air Puissant & Silencieux, pour Grow","1","amazon.fr","Amazon","Pont L Eveque","","14130","MarketplaceFacilitator","37,49","7,50","0","0","0","0","0","0","-7,50","-6,75","-5,89","-0,38","0","24,47","Sorti","9 avr. 2026 15:46:52 UTC"
"1 avr. 2026 18:00:47 UTC","26821642572","Commande","171-0810902-8933145","VSF-AWD4x2-EU","VIVOSUN AeroWave D4 Ventilateur de Culture Oscillant 100mm, Ventilateur à Pince avec Crochet, 3 Vitesses, Flux d'air Puissant & Silencieux, pour Grow","1","amazon.fr","Amazon","Les Lucs-sur-Boulogne","","85170","MarketplaceFacilitator","37,49","7,50","0","0","0","0","0","0","-7,50","-6,75","-5,89","-0,38","0","24,47","Sorti","9 avr. 2026 14:57:38 UTC"
"1 avr. 2026 19:07:34 UTC","26821642572","Commande","404-7672999-0137152","304113-2014-EU","VIVOSUN Tente de Culture Petite 50x36x54cm, Tente de Culture Mini avec Mylar Hautement Réfléchissant, Design de Fond Scellé, Fenêtre de Ventilatio","1","amazon.fr","Amazon","Caen","","14000","MarketplaceFacilitator","41,66","8,33","0","0","0","0","0","0","-8,33","-7,50","-6,90","-0,44","0","26,82","Sorti","13 avr. 2026 22:47:45 UTC"
"2 avr. 2026 00:53:11 UTC","26821642572","Commande","405-7385787-4314703","VSE-ATW70-EU-FBM","VIVOSUN AeroFlux Chauffage Intelligent pour Serre de Culture avec Thermostat, Chauffage PTC de 700 W, Compact et Portable avec VPD, Contrôle via Appl","1","amazon.fr","Vendeur","LAFOX","","47240","MarketplaceFacilitator","108,32","21,67","0","0","0","0","0","0","-21,67","-19,50","0","-0,59","0","88,23","Sorti","17 avr. 2026 21:24:30 UTC"
"2 avr. 2026 00:53:20 UTC","26821642572","Commande","405-0310043-4288302","305140-PEN-EU-FBM","VIVOSUN Kits de pH-mètre numérique et TDS, 0,01pH haute précision type stylo pH mètre ± 2% précision de lecture 3 en 1 TDS EC pour hydroponie, p","1","amazon.fr","Vendeur","Santes","","59211","MarketplaceFacilitator","24,15","4,83","0","0","0","0","0","0","-4,83","-4,35","0","-0,13","0","19,67","Sorti","14 avr. 2026 07:58:06 UTC"
"2 avr. 2026 00:53:25 UTC","26821642572","Commande","405-3640894-8320324","VSF-AWD4-EU-M","VIVOSUN AeroWave D4 Ventilateur de Culture Oscillant 100mm, Ventilateur à Pince avec Crochet, 3 Vitesses, Flux d'air Puissant & Silencieux, pour Grow","1","amazon.fr","Vendeur","Bordeaux","","33300","MarketplaceFacilitator","23,32","4,67","0","0","0","0","0","0","-4,67","-4,20","0","-0,13","0","18,99","Sorti","16 avr. 2026 08:02:45 UTC"
"2 avr. 2026 00:53:25 UTC","26821642572","Commande","405-3640894-8320324","330101x2NJ-EU-M","VIVOSUN Tapis Chauffant pour Semis 25x52cm, Tapis Chauffant étanche Certifié UL et MET pour Intérieur Serre Germination Hydroponique, Jardin Intér","1","amazon.fr","Vendeur","Bordeaux","","33300","MarketplaceFacilitator","29,16","5,83","0","0","0","0","0","0","-5,83","-5,25","0","-0,16","0","23,75","Sorti","16 avr. 2026 08:02:45 UTC"
"2 avr. 2026 00:53:25 UTC","26821642572","Commande","405-3640894-8320324","VS-THB1-EU-M","VIVOSUN AeroLab THB1 Thermomètre Hygromètre Bluetooth sans Fil, Moniteur de Température Intelligent VPD Humidimètre Numérique Télécommande&Aler","1","amazon.fr","Vendeur","Bordeaux","","33300","MarketplaceFacilitator","16,66","3,33","0","0","0","0","0","0","-3,33","-2,60","0","-0,08","0","13,98","Sorti","16 avr. 2026 08:02:45 UTC"
"2 avr. 2026 00:53:46 UTC","26821642572","Commande","403-4616123-2527541","306101S-6-EU-FBM","VIVOSUN Ventilateur de Conduit 150mm Extraction 748m³/h avec Régulateur de Vitesse Variable Ventilateur pour Tente de Culture, Serre Intérieure, Ja","1","amazon.fr","Vendeur","Mougins","","06250","MarketplaceFacilitator","74,99","15,00","0","0","0","0","0","0","-15,00","-13,50","0","-0,41","0","61,08","Sorti","16 avr. 2026 13:27:48 UTC"
"2 avr. 2026 00:53:52 UTC","26821642572","Commande","403-7807139-0914747","VSE-ASH05-EU-M","VIVOSUN Humidificateur D'Air pour Plantes 5L Humidificateur Intelligent Plantes, Aerostream H05 24DB Silencieux Brume Fraîche 360° 50H Remplissage F","1","amazon.fr","Vendeur","Trainou","","45470","MarketplaceFacilitator","66,66","13,33","0","0","0","0","0","0","-13,33","-12,00","0","-0,36","0","54,30","Sorti","17 avr. 2026 12:39:25 UTC"
"2 avr. 2026 04:00:29 UTC","26732658152","Remboursement","403-3373211-5469130","305140-PEN-EU-FBM","VIVOSUN Kits de pH-mètre numérique et TDS, 0,01pH haute précision type stylo pH mètre ± 2% précision de lecture 3 en 1 TDS EC pour hydroponie, p","1","amazon.fr","Vendeur","Fillieres","","54560","MarketplaceFacilitator","-24,15","-4,83","0","0","0","0","0","0","4,83","3,48","0","0,13","0","-20,54","Sorti","3 avr. 2026 09:35:12 UTC"
"2 avr. 2026 08:52:19 UTC","26821642572","Commande","407-1408055-0889954","311001-10x5-EU-M","VIVOSUN Lot 5 Sac de Plantation 40L Sacs de Culture Tissu Non Tissé Sac à Plantes, Pots Tissu Épais Haute Résistance avec Poignées pour Légumes,","2","amazon.fr","Vendeur","THEYS","","38570","MarketplaceFacilitator","48,32","9,66","0","0","0","0","0","0","-9,66","-8,70","0","-0,26","0","39,36","Sorti","18 avr. 2026 17:07:35 UTC"
"2 avr. 2026 09:48:16 UTC","26821642572","Commande","404-9281124-4675533","304113-42-EU","VIVOSUN Tente de Culture 120x60x150cm, Tente Hydroponique Intérieure Lumière-Proof avec Mylar Réfléchissant, Fenêtre D'observation, Bac de Fond,","1","amazon.fr","Amazon","TOULOUSE","","31400","MarketplaceFacilitator","124,99","25,00","1,67","0,33","0","0","-1,67","-0,33","-25,00","-22,50","-27,43","-1,50","0","73,56","Sorti","17 avr. 2026 21:07:13 UTC"
