"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"fecha/hora: fecha y hora de publicación de la transacción"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"Nota: Los informes con fecha de inicio del 1 de enero de 2025 o posterior se indexan por fecha de publicación, incluyen las transacciones liberadas y diferidas y tienen dos nuevas columnas. Es posible que tengas que actualizar las integraciones o asignaciones de terceros."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total","Estado de la transacción","Fecha de liberación de la transacción"
"2 abr 2026 0:52:58 UTC","26822401742","Pedido","171-1107775-1123529","311001-7x5-EU-M","VIVOSUN Bolsa de Cultivo 5 Unidades 25 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Vendedor","Lugones","Asturias","33420","MarketplaceFacilitator","18,17","3,82","0","0","0","0","0","0","-3,82","-3,30","0","-0,10","0","14,77","Liberada","20 abr 2026 18:20:20 UTC"
"2 abr 2026 0:53:08 UTC","26902805082","Pedido","402-8735806-3042766","311001-10x5-EU-M","VIVOSUN Bolsa de Cultivo 5 Unidades 40 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Vendedor","montcada y reixac","barcelona","08110","MarketplaceFacilitator","23,13","4,86","0","0","0","0","0","0","-4,86","-4,20","0","-0,13","0","18,80","Liberada","23 abr 2026 8:17:12 UTC"
"2 abr 2026 0:59:16 UTC","26822401742","Pedido","407-1486005-1481912","VSA200SE-E25-EU-M","VIVOSUN AeroLight Wing AW200SE, Luz de Cultivo LED de 200W con Ventilador de Circulación Integrado y Controlador GrowHub E25, Compatible con Aplicaci","1","amazon.es","Vendedor","Zaragoza","Zaragoza","50002","","229,99","0","0","0","0","0","0","0","0","-34,50","0","-1,04","0","194,45","Liberada","20 abr 2026 20:47:22 UTC"
"2 abr 2026 7:40:53 UTC","26822401742","Pedido","403-4238074-4995524","VSL-LL150-EU","VIVOSUN LumaLight Lámpara LED 150 W de Cultivo, Espectro Completo para Plantas, Smart Regulable y Alto PPFD para Plantas de Interior, Plántulas, Hor","1","amazon.es","Amazon","La Cala (finestrat)","","03509","MarketplaceFacilitator","128,74","27,04","3,30","0,69","0","0","-3,30","-0,69","-27,04","-23,37","-7,57","-0,70","0","97,10","Liberada","15 abr 2026 23:13:09 UTC"
"2 abr 2026 9:32:13 UTC","26732720862","Reembolso","408-9286284-9377128","305131-EU-M","VIVOSUN Probador de Euelo, Medidor de Humedad de Plantas 3 en 1, Medidor de Luz y pH para el Hogar, Jardín, Césped, Granja, Uso Interior y Exterior,","1","amazon.es","Vendedor","Parla","Madrid","28981","MarketplaceFacilitator","-9,08","-1,91","0","0","0","0","0","0","1,91","1,14","0","0,03","0","-7,91","Liberada","2 abr 2026 9:32:13 UTC"
"2 abr 2026 15:04:53 UTC","26822401742","Pedido","405-8783665-6927531","VSA100SE-EU","VIVOSUN AeroLight A100SE, luz LED de crecimiento de 100 W para plantas de interior con ventilador de circulación integrado, compatible con aplicació","1","amazon.es","Amazon","Rafelguaraf","Comunidad Valenciana","46666","MarketplaceFacilitator","103,37","21,71","0","0","0","0","0","0","-21,71","-18,76","-8,37","-0,56","0","75,68","Liberada","10 abr 2026 13:53:56 UTC"
"2 abr 2026 23:15:56 UTC","26822401742","Pedido","406-7425097-9691563","VSF-AWD4x2-EU","VIVOSUN Pack de 2 Ventiladores de Pinza Oscilantes AeroWave D4 10cm para Cultivo, 3 Velocidades, Flujo de Aire Fuerte y Silencioso, Ángulo Ajustable,","1","amazon.es","Amazon","Baltarga","Lleida","25721","MarketplaceFacilitator","35,53","7,46","0","0","0","0","0","0","-7,46","-6,45","-3,86","-0,19","0","25,03","Liberada","14 abr 2026 19:15:37 UTC"
"2 abr 2026 23:20:30 UTC","26732720862","Ajuste","404-9713471-3137139","VSE-ASH09-EU","Reembolso de inventario de Logística de Amazon (Devolución del cliente)","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","72,58","72,58","Liberada","2 abr 2026 23:20:30 UTC"
"3 abr 2026 0:53:23 UTC","26822401742","Pedido","171-3209549-9844357","330301-EU-M","VIVOSUN Alfombra Calefaccional para Plantulas 25x52cm con Controlador de Temperatura Integrado, Manta Termica Planta Impermeable Certificada UL & Met","1","amazon.es","Vendedor","Pamplona","Navarra","31003","MarketplaceFacilitator","24,79","5,20","0","0","0","0","0","0","-5,20","-4,50","0","-0,14","0","20,15","Liberada","21 abr 2026 12:48:11 UTC"
"3 abr 2026 0:53:28 UTC","26822401742","Pedido","403-5735919-8853909","GH-E25-EU-FBM","VIVOSUN GrowHub Controller E25, Sistema de Cultivo Inteligente, Aplicación WiFi Controlable, Puerto de Expansión para E42/E42A, para Iluminación de","1","amazon.es","Vendedor","zaragoza","zaragoza","50001","MarketplaceFacilitator","22,31","4,68","0","0","0","0","0","0","-4,68","-4,05","0","-0,12","0","18,14","Liberada","20 abr 2026 23:22:40 UTC"
