"request-date","order-id","order-source","order-type","service-speed","order-status","last-updated-date","sku","fnsku","disposition","requested-quantity","cancelled-quantity","disposed-quantity","shipped-quantity","in-process-quantity","removal-fee","currency"
"2026-04-15T07:31:47+05:30","kcqSAT6Wl8","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-15T18:46:11+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-15T02:42:18+05:30","ExKkFDYvdc","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-15T07:28:42+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1","0",,"0",,
"2026-04-14T23:35:03+05:30","7pTdp1BU4K","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-16T01:01:57+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-14T23:35:03+05:30","7pTdp1BU4K","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-16T01:01:57+05:30","305131-UK","X0022PUP95","Unsellable","1","0",,"1","0","0.00","GBP"
"2026-04-13T22:06:52+05:30","1o3x+JF67X","Amazon-initiated Automated Aged fulfillable Removal System","Liquidations","-","Completed","2026-04-14T08:58:53+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","304113-3018-EU","X001VH0DZB","Unsellable","1","1",,"0","0",,
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","304113-42-EU","X001VHE5Z5","Unsellable","5","4",,"1","0","13.93","EUR"
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","304113-55-EU","X001VJEKAX","Unsellable","1","1",,"0","0",,
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","304113-84-EU","X001VJENEB","Unsellable","1","1",,"0","0",,
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","304113-52-EU","X001VJETI1","Unsellable","10","10",,"0","0",,
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","306143-0412-EU","X001VZSIFF","Unsellable","4","2",,"2","0","8.12","EUR"
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","GIY-SGS-224-EU","X001XL6FXJ","Unsellable","2","2",,"0","0",,
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","VSH-IS03-EU","X001Z5PQDD","Unsellable","11","5",,"6","0","10.80","EUR"
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","304113-P426-EU","X0021L2AV1","Unsellable","1","1",,"0","0",,
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","332021-2-EU","X0021OYWH3","Unsellable","1","1",,"0","0",,
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","VSE-ASH05-EU","X0026MTWX9","Unsellable","1","1",,"0","0",,
