"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2026-04-15T00:02:00+00:00","304113-42-EU","X001VHE5Z5","B01DXYMQ9M","VIVOSUN Growzelt 120x60x150cm lichtdichtes Indoor Hydroponik Zelt mit reflektierendem Mylar Sichtfenster Bodenwanne stabile Rahmenstruktur Pflanzenzelt Gewächshaus S425 Growtent für VS2000","New","0.0325","EUR","cubic_meters","DE","51","434.21","456+","8.51"
"2026-04-15T00:02:00+00:00","304113-44-EU","X001VH92Y9","B01731MNJE","Vivosun SS44 Wachstumszelt Grow Tent 20x20x80cm für Hydrokulturen, LED VS500/VSF80","No Listing","0.0464","EUR","cubic_meters","DE","123","1494.31","456+","12.15"
"2026-04-15T00:01:00+00:00","VSA-150-HUB-EU","X0023PYIW9","B0BXNYHSWX","VIVOSUN LED Grow Lampe 150W Einstellbarem Vollspektrum Pflanzenlampe mit Integriertem Zirkulationsventilator AeroLight A150 Grow Light mit GrowHub Controller E42A für Growzelt Zimmerpflanzen","New","0.0143","EUR","cubic_meters","DE","1","3.26","366-455","3.26"
"2026-04-15T00:01:00+00:00","311003-4X3NJ-UK","X0022WWM5X","B088GW8H4J","VIVOSUN 3-Pack 17 cm Gardening Scissors Hand Pruner Pruning Shear with Straight Blades and Titanium Non-Stick Coating Rose Secateurs Orange","New","0.0238","GBP","cubic_feet","GB","1","0.08","301-330","0.08"
"2026-04-15T00:01:00+00:00","311003-5X3NJ-UK","X0022UAF3L","B088GVCMZH","VIVOSUN Pack of 3 Secateurs 17 cm Plant Shears with Ergonomic Handles Loppers with Curved Blades and Titanium Non-Stick Coating Rose Scissors Blue","New","0.0304","GBP","cubic_feet","GB","1","0.20","366-455","0.2"
"2026-04-15T00:01:00+00:00","304113-P224-UK","X0022PY2IZ","B0CGHDFN7T","VIVOSUN Pro Grow Tent 60x60x120 CM (24""x24""x48""), with Thick 22 mm Poles, 2000D Oxford Fabric with Highly Reflective Mylar Extra Hanging Poles for Hydroponics Indoor Plant, No High CFM Set","New","1.2714","GBP","cubic_feet","GB","1","4.14","301-330","4.14"
"2026-04-15T00:01:00+00:00","VC-0003-EU","X0022KYSO3","B0B7J2931M","VIVOSUN Lot de 2 housses d'aération de tente de culture de 10,2 cm/15,2 cm/20,3 cm avec bande élastique et boucle fixe pour aération de tente de culture","New","7.0E-4","EUR","cubic_meters","FR","4","1.00","456+","0.25"
"2026-04-15T00:01:00+00:00","TN-44-EU","X0022GVOSP","B0BY2JKXC7","VIVOSUN Red de Trepado Elástica 120x120cm con 4 Ganchos, Soporte para Plantas Trepadoras, Verduras, Frutas y Flores, Jardín y Cultivo","New","0.0013","EUR","cubic_meters","ES","52","17.85","456+","0.34"
"2026-04-15T00:01:00+00:00","311003-5X2NJ-EU","X002203JR5","B087CR7H9S","VIVOSUN Gartenschere 2er-Packung 17cm Pflanzenschere mit Ergonomischen Griffen Baumschere mit Gebogenen Klingen und Titan-Antihaftbeschichtung Rosenschere Blau","New","4.0E-4","EUR","cubic_meters","DE","246","61.50","456+","0.25"
"2026-04-15T00:01:00+00:00","311003-4X2NJ-EU","X0021P8V2T","B087CPSL1H","VIVOSUN Lot de 2 Sécateur de Jardin 17 cm, Poignée Ergonomique, Lame Droite en Acier Inoxydable avec Revêtement en Titane, Poignée Verrouillable, Convient aux Fleurs, Roses, Fruits et Plantes, Orange","New","4.0E-4","EUR","cubic_meters","FR","58","14.50","456+","0.25"
