"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2026-04-15T01:41:28+00:00","302-8993161-1102746","Spray-SX-CS5-EU","B07Y82117Q","X001VKGO47","VIVOSUN Drucksprüher 5L Gartenspritze mit 3 Düsen, Druckentlastungsventil & Verstellbarem Tragegurt, Sprühflasche für Pflanzen, Rasenpflege & Reinigun, Weiß","1","LCJ4","CUSTOMER_DAMAGED","DAMAGED_BY_FC","Unit returned to inventory","LPNHK551984133",
"2026-04-15T01:11:09+00:00","305-3282374-8350762","332021-EU","B07VK287M6","X0021P5SGL","VIVOSUN 30X 60X Beleuchtete Juwelierlupe mit LEC-Light, Faltbare Taschenlupe mit 2 Linsen für die Beobachtung von Schmuck, Edelsteine, Uhren, Münzen, Briefmarken, Antiquitäten, Weiß","1","BTS2","SELLABLE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHE677590018","Material macht einen billigen Eindruck"
"2026-04-14T22:30:37+00:00","403-1545804-6581931","VSVC-AZG6E42AP-EU","B0CBRPS1N8","X002CUF3G5","VIVOSUN Kit de Extracción Ventilador de Conducto 150mm AeroZesh G6 con GrowHub E42A+, Controlador WiFi VPD Temperatura Humedad, Filtro de Carbón Activo y Conducto para Tiendas de Cultivo e Hidroponía","1","WRO1","DEFECTIVE","NOT_COMPATIBLE","Unit returned to inventory","LPNHK482414194","El extractor no es el modelo inteligente, debe haber algún error, en el pack sale el controlador inteligente y el motor no lo es, no tiene sentido"
"2026-04-14T19:31:21+00:00","302-7588098-7817903","VSF-AWD4x2-EU","B0CMZFSLCL","X0023L9G3T","VIVOSUN AeroWave D4 10cm Grow Ventilator Clip Ventilator Grow mit Haken, 3 Stufen, Starker & Leiser Luftstrom, Luftstromwinkel Einstellbar für Hydrokultur, Zirkulation, Schwarz, 2er-Pack","1","BTS2","DEFECTIVE","DAMAGED_BY_FC","Unit returned to inventory","LPNHK542696153","Beim Anbringen an das Gestänge ist eine Klemme gebrochen, obwohl ich sehr behutsam vorging. Der zweite Ventilator ist unbenutzt und intakt. Bitte um Rückerstattung des Kaufpreises."
"2026-04-14T08:36:10+00:00","408-9454380-9840343","304113-55-EU","B01DXYM98K","X001VJEKAX","VIVOSUN Tente de Culture 150x150x200cm, Tente Hydroponique Intérieure Lumière-Proof avec Mylar Réfléchissant, Fenêtre D'observation, Bac de Fond, Structure de Cadre Stable, Tente de Plantes","1","XDT1","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNXX000719695",
"2026-04-14T07:43:22+00:00","028-5607394-2562709","VSF-AWD4x2-EU","B0CMZFSLCL","X0023L9G3T","VIVOSUN AeroWave D4 10cm Grow Ventilator Oszillierend Clip Ventilator Grow mit Haken, 3 Stufen, Starker & Leiser Luftstrom, Luftstromwinkel Einstellbar für Hydrokultur, Zirkulation, Schwarz, 2er-Pack","1","LCJ4","SELLABLE","FOUND_BETTER_PRICE","Unit returned to inventory","LPNHK537742690","Bei ebay hat es nur 34,99 Euro gekostet."
"2026-04-14T07:31:49+00:00","304-5107984-1126723","330301-EU","B09SZ9VS93","X00247HY3B","VIVOSUN Heizmatte Pflanzen 25,4x52,7cm mit Temperaturregler, Wasserdichte Pflanzen-Wärmematte UL & MET Zertifiziert, Setzling Heizmatte für Keimung, Hydrokultur, Zucht und Gewächshaus","1","KTW1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Repackaged Successfully","LPNHK540490774",
"2026-04-13T23:31:15+00:00","203-8945349-1568346","VSA150SE-E25-UK","B0BKPKKWYK","X0022P84ZR","VIVOSUN LED Grow Lamp 150 W Full Spectrum Plant Lamp with Integrated Circulation Fan Grow Light Compatible with App, AeroLight A150SE with GrowHub Controller E25 for 120 x 60 cm Grow Tent","1","EDI4","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Unit returned to inventory","LPNIC150472547",
"2026-04-13T15:18:56+00:00","405-4148893-0770703","306143-0412-EU","B01DXYMBU6","X001VZSIFF","VIVOSUN Filtro de Carbón Activo 100mm | con Prefiltro, Brida Reversible y Carbón Australiano | Control de Olores para Tentes de Cultivo, Ventiladores en Línea y Cultivo Interior","1","MAD4","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Repackaged Successfully","LPNWE395856512",
"2026-04-13T08:24:50+00:00","303-2893624-1089102","VSI-VGDWC15-EU-N1","B0FSJ7DNWS","X002FA33A5","VIVOSUN VGrow DWC Hydroponik-System 15 L, Nur für VGrow Smart Grow Box, Nicht kompatibel mit E42A/E42A+, Nicht für Growzelt geeignet, Mit Luftpumpensteinen & Rapid Rooters","1","WRO1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNHK473307339",
"2026-04-13T07:58:54+00:00","303-2893624-1089102","VSI-VGDWC15-EU-N1","B0FSJ7DNWS","X002FA33A5","VIVOSUN VGrow DWC Hydroponik-System 15 L, Nur für VGrow Smart Grow Box, Nicht kompatibel mit E42A/E42A+, Nicht für Growzelt geeignet, Mit Luftpumpensteinen & Rapid Rooters","1","WRO1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNHK473531566",
"2026-04-12T08:32:33+00:00","028-7325854-2136351","306143-0412-EU","B01DXYMBU6","X001VZSIFF","VIVOSUN Aktivkohlefilter 100mm/4 Inch, Kohlefilter Geruchskontrolle mit Australischer Aktivkohle für Rohrventilator, Growzelt, inkl Vorfilter, für Indoor Growzelt Gewächshaus","1","BTS2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNHe080623730",
"2026-04-11T22:26:27+00:00","205-1045459-5101115","305131-UK","B01DNUIGUY","X0022PUP95","VIVOSUN Soil Tester, 3-in-1 Plant Moisture Meter Light and PH Tester for Home, Garden, Lawn, Farm, Indoor and Outdoor Use, Promote Plants Healthy Growth","1","LBA2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNWE388668206","The light sensor part does not work."
"2026-04-11T12:06:54+00:00","206-7737580-3198703","LED-150-UK","B09LQCSC8P","X0022P1AK3","VIVOSUN VS1500 LED Grow Light with Samsung LM301 Diodes & Sosen Driver for Indoor Growing, Plant Lamp with Dimmable Lights & Sun-Like Full Spectrum for 90 x 90 cm Grow Tent","1","LBA2","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNIC168357990",
"2026-04-10T22:37:10+00:00","303-6553554-5477945","VSV-AZG4E42AP-EU","B0C6QK97P2","X002CUEXZ7","VIVOSUN Rohrventilator 100mm Abluftventilator 330m³/h AeroZesh G4 mit EC-Motor und GrowHub E42A+, VPD-Regler, WiFi/App-Fernsteuerung Ventilator Growbox Rohrlüfter für Kühlung, Growzelte, Hydroponik","1","LCJ4","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHK539665815",
"2026-04-10T22:35:12+00:00","306-9992088-4389948","306146-0412-EU","B08M3G5TH3","X001VZST45","VIVOSUN Aktivkohlefilter 100mm Aktivkohlefilter Grow AKF Kohlefilter Geruchskontrolle mit Australischer Aktivkohle inkl. Vorfilter für Rohrventilator Growzelt Growbox Indoor","1","BTS2","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHK541396839",
"2026-04-10T21:57:29+00:00","306-1327843-3959513","VSC-GCC4-EU","B0D8PQQWM3","X00276V1V5","VIVOSUN GrowCam C4 2K QHD WLAN Smart Kamera für Growzelt & Indoor Pflanzen, mit Zeitraffer, Nachtsicht, SD-Karten-Speicherung, Zwei-Wege-Audio, App-Steuerung, Kompatibel mit VGrow System","1","BTS2","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNHK540885234",
"2026-04-10T21:55:40+00:00","402-6818022-4459523","LED-100x2-EU","B08JG8F18N","X0020AEZ6V","VIVOSUN VS1000 Lampe de Croissance à Del avec diodes à Spectre Complet et Pilote Sosen à intensité Variable pour Plantes d'intérieur, semis, légumes et Fleurs pour Tente de Culture de 2 x 2/3 x 3","1","WRO1","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNHK485228640",
"2026-04-10T21:26:02+00:00","305-7436842-0342718","306143-0412-EU","B01DXYMBU6","X001VZSIFF","VIVOSUN Aktivkohlefilter 100mm Aktivkohlefilter Grow AKF Kohlefilter Geruchskontrolle mit Australischer Aktivkohle inkl Vorfilter für Indoor, Rohrventilator, Growzelt, Growbox, Gewächshaus","1","LCJ4","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP066698897",
"2026-04-10T14:56:04+00:00","204-4690318-7263539","VSH-IS03-UK","B0BXD9RK42","X0022UF9AZ","VIVOSUN Solar Automatic Drip Irrigation Kits with Timer, 3W Output, Solar Powered Auto Drip Irrigation System, 15 Pots Garden Plant Watering System, Plant Waterer Indoor Outdoor","1","EDI4","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNWE409018414",
"2026-04-10T11:52:53+00:00","304-8260196-6481909","VSH-IS03-EU","B0BXD9RK42","X001Z5PQDD","VIVOSUN Solar Automatische Tropfbewässerung Set mit Zeituhr, 3W Ausgang, Solarbetriebenes Bewässerungssystem für 15 Töpfe, ideal für Garten, Balkon, Terrasse und Zimmerpflanzen","1","LCJ4","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRP053820440",
"2026-04-10T11:18:36+00:00","305-9591314-6219550","GH-E42AP-EU","B0BS2BVL3Q","X002CUA5IB","VIVOSUN GrowHub Controller E42A+ für Growzelte, Smart WiFi-Controller für Temperatur, Luftfeuchte und VPD mit Timer, Zyklus und Zeitplan, steuert Kühlung, Belüftung und Beleuchtung","1","BTS2","DEFECTIVE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHK539728621","Keine wirkliche Verbesserung zum Vorgänger. Mehr Schein als sein und scheinbar zur gehyped"
"2026-04-10T09:36:24+00:00","306-5836382-7665128","SST-1-0001-EU","B0BTD741R3","X0024QXTEF","VIVOSUN Anzuchtset mit 40-Zellen-Starter-Tablett, LED-Pflanzenlicht und 25,4×52,7 cm Heizmatte, Mini-Gewächshaus mit 9,1 cm hoher Haube, Verstellbarer Belüftung und Abflusslöchern für Sämlinge","1","BTS2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNHK539760690",
"2026-04-10T05:36:08+00:00","302-5410521-2774767","330101x2NJ-EU","B015PD8I7I","X00247MESL","VIVOSUN 2er-Pack Heizmatte 25,4x52,7cm für Setzlinge, Wasserdichte Wärmematte UL & MET Zertifiziert, Pflanzen-Heizmatte für Keimung, Hydroponik, Indoor Garten & Gewächshaus","1","LCJ4","SELLABLE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHK538185693","Regler zum Einstellen der Temperatur wäre besser"
"2026-04-10T01:19:29+00:00","302-0712015-0993133","VSC-GCC4-EU","B0D8PQQWM3","X00276V1V5","VIVOSUN GrowCam C4 2K QHD WLAN Smart Kamera für Growzelt & Indoor Pflanzen, mit Zeitraffer, Nachtsicht, SD-Karten-Speicherung, Zwei-Wege-Audio, App-Steuerung, Kompatibel mit VGrow System","1","BTS2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNHK539003579",
"2026-04-09T22:00:06+00:00","302-5982141-9265135","VSF-AWE6-G2-EU","B0BP1Y3CRM","X00260ULXB","VIVOSUN E6 Gen2 Grow Ventilator Oszillierend Leise Klein for Growzelt, 10 Geschwindigkeiten & 2 Modi, EC-Motor, Clip Ventilator Klemmbar Mini Fan für Growbox, IP54, Timer,APP/WiFi Steuerung Schwarz","1","LCJ4","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Repackaged Successfully","LPNHK491168195",
"2026-04-09T17:42:11+00:00","028-1937465-0919549","VSV-AZG4-EU","B0C6QG963B","X001WOUZFV","VIVOSUN AeroZesh G4 Rohrventilator 100 mm Abluftventilator 331 m³/h 3 Zyklusmodi mit PWM-Steuerung & E12-Geschwindigkeitsregler Ventilator Growbox Rohrlüfter für Growzelt Growbox Indoorbelüftung","1","BTS2","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Unit returned to inventory","LPNHK540504710",
"2026-04-09T14:51:58+00:00","305-7799403-9481910","GH-E42AP-EU","B0BS2BVL3Q","X002CUA5IB","VIVOSUN GrowHub Controller E42A+ für Growzelte, Smart WiFi-Controller für Temperatur, Luftfeuchte und VPD mit Timer, Zyklus und Zeitplan, steuert Kühlung, Belüftung und Beleuchtung","1","BTS2","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Unit returned to inventory","LPNHK544085498",
"2026-04-09T14:13:52+00:00","405-5146087-8835517","VSI-FFD2-EU","B0CRDQ63HT","X0021PRUUD","VIVOSUN FlexFeed Kit Professionale di Irrigazione a Goccia Automatica, Sistema Controllabile Via App con Pompa e 4 Emetitori a Goccia per Piante","1","MXP5","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNWE350446003","L&#39;avevo acquistato pensando che fosse compatibile con il mio controller ma non lo è"
"2026-04-09T13:12:21+00:00","306-4340835-7197166","VSF-AWD4x2-EU","B0CMZFSLCL","X0023L9G3T","VIVOSUN AeroWave D4 10cm Grow Ventilator Clip Ventilator Grow mit Haken, 3 Stufen, Starker & Leiser Luftstrom, Luftstromwinkel Einstellbar für Hydrokultur, Zirkulation, Schwarz, 2er-Pack","1","MAD4","SELLABLE","NEVER_ARRIVED","Unit returned to inventory","LPNWE395178645",
"2026-04-09T08:44:38+00:00","303-9931989-8744329","VSE-UH075-EU","B0D626DZTN","X0026HLHBJ","VIVOSUN AeroStream U075 USB-Luftbefeuchter, 750ml Kaltnebel Mini-Luftbefeuchter mit 2 Nebel-Modi, Automatische Abschaltung, Smarte Fernbedienung mit VGrow, Entwickelt für Growzelte","1","LCJ4","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNHK538202532",
"2026-04-09T07:49:42+00:00","403-1583549-5697116","304113-42-EU","B01DXYMQ9M","X001VHE5Z5","VIVOSUN Armario de Cultivo Interior 120x60x150cm, Indoor Hydroponic Zelt Opaco con Ventana Reflectante Mylar Bandeja Base Estructura Estable Cultivo Interior Invernadero Plantas","1","MAD6","CARRIER_DAMAGED","NO_REASON_GIVEN","Reimbursed","LPNHK526809106",
"2026-04-09T06:10:33+00:00","302-7971057-5387501","306143-0412-EU","B01DXYMBU6","X001VZSIFF","VIVOSUN Aktivkohlefilter 100mm Aktivkohlefilter Grow AKF Kohlefilter Geruchskontrolle mit Australischer Aktivkohle inkl Vorfilter für Indoor, Rohrventilator, Growzelt, Growbox, Gewächshaus","1","BTS2","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNHe081190777",
"2026-04-09T05:52:34+00:00","404-0600459-0049906","VSVC-AZG4E42AP-EU","B0CBRSM7H7","X002CU6GJ3","VIVOSUN Kit d'Extraction d'Air Intelligent Pro 100mm AeroZesh G4 avec GrowHub E42A+, Contrôleur WiFi Température Humidité, Filtre à Charbon Actif et Conduit pour Tentes de Culture et Hydroponie","1","WRO1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHK312715007",
"2026-04-09T02:17:09+00:00","305-4250751-9015538","311003-4-EU","B01EWH83FU","X001W1EEP1","VIVOSUN Gartenschere 1er-Packung 17cm Pflanzenschere mit Ergonomischen Griffen Ernteschere Grow Schere Trimmschere mit Hochwertiger Gerader Klingen und Titan-Antihaftbeschichtung Rosenschere Orange","1","KTW1","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Repackaged Successfully","LPNHK539241695",
"2026-04-09T01:28:03+00:00","306-8443609-2063569","GH-E42AP-EU","B0BS2BVL3Q","X002CUA5IB","VIVOSUN GrowHub Controller E42A+ für Growzelte, Smart WiFi-Controller für Temperatur, Luftfeuchte und VPD mit Timer, Zyklus und Zeitplan, steuert Kühlung, Belüftung und Beleuchtung","1","LCJ4","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNHK532355209",
"2026-04-08T23:29:23+00:00","305-6845774-9973945","VSC-GCC4-EU","B0D8PQQWM3","X00276V1V5","VIVOSUN GrowCam C4 2K QHD WLAN Smart Kamera für Growzelt & Indoor Pflanzen, mit Zeitraffer, Nachtsicht, SD-Karten-Speicherung, Zwei-Wege-Audio, App-Steuerung, Kompatibel mit VGrow System","1","BTS2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNHe015529746",
"2026-04-08T17:43:41+00:00","028-0885619-3497943","306143-0616-EU","B01731MLFK","X001VZO4UN","VIVOSUN Aktivkohlefilter Grow Aktivkohlefilter 150mm/6 Inch Geruchskontrolle mit Australischer Aktivkohle inkl. Vorfilter für Indoor Growzelt Growbox Rohrventilator Gewächshaus","1","LCJ4","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHK539435918",
"2026-04-08T17:04:21+00:00","303-6385384-2267531","TN-44-EU","B0BY2JKXC7","X0022GVOSP","VIVOSUN Ranknetz für Kletterpflanzen 120x120 cm Elastisches Pflanzennetz, Scrog Netz mit 4 Haken, Grow Netz für Kletterpflanzen, Tomaten, Gurken, Gemüse und Blumen","1","BTS2","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNHe060130642","Mehrere Stellen im Netz Schimmel. Für schimmelanfällige Pflanzen ungeeignet."
"2026-04-08T14:22:21+00:00","302-4973118-8759514","306104-42C-EU","B07WFDCYZL","X0023T6Q1L","VIVOSUN 2er-Packung 10cm 7,6m Flexibler Luftkanal aus Aluminium für Belüftung, Inklusive 4 Schlauchschellen aus Edelstahl, Mehrschichtiges Schlauch Ventilationsset für Ventilatorsystem, HVAC-Lüftung","1","BTS2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNHe007848876","Hose has uncountably many holes from the getgo. These can be seen immediately from shining a torch through it. This makes it unusable for the marketed purpose because of leaks."
"2026-04-08T14:05:56+00:00","306-5865333-1260310","304113-55-EU","B01DXYM98K","X001VJEKAX","VIVOSUN Growzelt 150x150x200cm lichtdichtes Indoor Hydroponik Zelt mit reflektierendem Mylar Sichtfenster Bodenwanne stabile Rahmenstruktur Pflanzenzelt Gewächshaus S558 Grow Tent passend für VSF6450","1","XDT1","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Unit returned to inventory","LPNXX000863548",
"2026-04-08T08:16:04+00:00","306-3861127-0473152","304113-55-EU","B01DXYM98K","X001VJEKAX","VIVOSUN Growzelt 150x150x200cm lichtdichtes Indoor Hydroponik Zelt mit reflektierendem Mylar Sichtfenster Bodenwanne stabile Rahmenstruktur Pflanzenzelt Gewächshaus S558 Grow Tent passend für VSF6450","1","XDT1","CUSTOMER_DAMAGED","FOUND_BETTER_PRICE","Repackaged Successfully","LPNXX000854721",
"2026-04-08T07:18:01+00:00","303-0384637-0272311","VSF-AWD4Wx2-EU","B0CN32T8J9","X0023LHG9P","VIVOSUN AeroWave D4 10cm Grow Ventilator Oszillierend Clip Ventilator Grow mit Haken, 3 Stufen, Starker & Leiser Luftstrom,Luftstromwinkel Einstellbar für Hydrokultur, Zirkulation, Weiß, 2er-Pack","1","BTS2","CARRIER_DAMAGED","NOT_COMPATIBLE","Reimbursed","LPNHK539923170",
"2026-04-07T19:26:20+00:00","303-7998418-8115568","304113-55-EU","B01DXYM98K","X001VJEKAX","VIVOSUN Growzelt 150x150x200cm lichtdichtes Indoor Hydroponik Zelt mit reflektierendem Mylar Sichtfenster Bodenwanne stabile Rahmenstruktur Pflanzenzelt Gewächshaus S558 Grow Tent passend für VSF6450","1","XDT1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNXX000872949",
"2026-04-07T16:30:38+00:00","407-6798629-8277965","VSF-AWD4x2-EU","B0CMZFSLCL","X0023L9G3T","VIVOSUN AeroWave D4 - Ventola da 10,2 cm con gancio staccabile, flusso d'aria forte e silenzioso, angolo del flusso d'aria regolabile per coltura idroponica, circolazione e raffreddamento, nero,","1","MXP5","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNWE400197816",
"2026-04-07T13:17:27+00:00","408-6186345-1207527","330101NJ-EU","B00P7U259C","X00247CDDH","VIVOSUN Tapis chauffant hydroponique robuste et imperméable pour semis, 25,4 x 52,7 cm, certifié UL et MET, pour la germination, la culture en intérieur et les serres","1","BTS2","SELLABLE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHE714269093","Problème de sécurité . Non conforme au norme européenne"
"2026-04-07T13:16:45+00:00","408-6186345-1207527","330101NJ-EU","B00P7U259C","X00247CDDH","VIVOSUN Tapis chauffant hydroponique robuste et imperméable pour semis, 25,4 x 52,7 cm, certifié UL et MET, pour la germination, la culture en intérieur et les serres","1","BTS2","SELLABLE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHE714269092","Problème de sécurité . Non conforme au norme européenne"
