"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","DEPRECATED healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","no-sale-last-6-months","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory-Level fee?","Low-Inventory-Level fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)","supplier","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-04-30","330103NJ","X001Z1N8F3","B01EMXI6VA","VIVOSUN Durable Waterproof Seedling Heat Mat 48"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","New","1498","0","1518","0","0","0","0","0","USD","59","684","2039","2988","","45.99","0.0","45.99","0.0","CreateShippingPlan","","0.0","0","0","0.0","1.28","0.126222","cubic feet","Oversize","189.080556","US","gl_lawn_and_garden","751","234","0","8","6","45.99","2564.51","29028.75","85040.08","123711.08","71","789","658","0","0","75.08","24","24","0","0","","12","7","","","","","","","","","","","","","","","","","72.3","374","Healthy","","","2026-04-27","No","No","72.3","70.2","2026-04-27","1522","0","11","1","238","unassigned","N","","",""
"2026-04-30","Amazon.Found.B0BZY3BT6R","B0BZY3BT6R","B0BZY3BT6R","VIVOSUN 2600 GPH Submersible Water Pump with Barrier Bag, Ultra Quiet 200W Pond Pump for Pond, Waterfall, Fish Tank, Statuary, Hydroponic, 20Ft. Lift Height","New","5","0","2","3","0","0","0","0","USD","0","0","0","0","Low conversion","94.99","0.0","85.49","0.0","Lower price","","0.0","0","0","0.0","0.8","0.579624","cubic feet","Standard","2.89812","US","gl_home_improvement","62775","2","0","","","85.49","0.0","0.0","0.0","0.0","2","0","0","0","0","0.52","0","0","0","0","","1","0","3","0.87","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","","1","Healthy","157","2026-05-07","","","","","406.0","2026-04-27","5","0","1","0","3","unassigned","N","","",""
"2026-04-30","311021-1x5NJ","X002IOJYKJ","B08869D3HP","VIVOSUN 5-Pack 1 Gallons Grow Bags Heavy Duty Thickened Nonwoven Fabric Pots with Strap Handles Tan","New","87","0","175","0","0","0","0","0","USD","67","304","492","585","","12.99","0.0","12.99","0.0","NoExcessInventory","","0.0","0","0","0.0","2.4","0.059148","cubic feet","Standard","5.145876","US","gl_lawn_and_garden","30","18","0","5","9","12.99","865.33","3882.46","6156.38","7325.75","175","0","0","0","0","2.79","325","324","0","1","","84","0","","","","","","","","","","","","","","","","","42.2","295","Low stock","258","2026-05-07","2026-04-27","No","No","24.6","42.2","2026-04-27","481","69","12","3","69","unassigned","N","","",""
"2026-04-30","VSG-FWT-400B","X004BEW1GD","B0D976KQ24","VIVOSUN 400 L/106 Gal Water Storage Bladder, Foldable and Portable Water Tank, Water Storage Bag Containers for RV, Camping, Garden, Irrigation, Drought Resistance, Firefighting","","0","0","2","0","0","0","0","0","USD","0","22","88","109","","0.0","0.0","44.09","0.0","CreateShippingPlan","","","0","0","","3.9","0.314257","cubic feet","Standard","0.0","US","gl_lawn_and_garden","120275","0","0","0","0","44.09","0.0","1079.08","4255.17","5259.56","0","2","0","0","0","","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","18.9","99","Out of stock","194","2026-04-30","2026-04-27","Yes","No","4.7","18.9","2026-04-27","0","0","1","0","0","unassigned","N","","",""
"2026-04-30","304113-P336","X003XWUTE5","B0CGHJG44R","VIVOSUN P336 36""×36""×72"" PRO Grow Tent, with Thick 1 inch Poles, Strengthened High Reflective Mylar Oxford Fabric, Extra Hanging Bars & High CFM Kit for Hydroponics Indoor Plant for AeroLight A200SE","New","70","0","76","0","0","0","0","0","USD","7","18","42","70","","149.99","0.0","119.98","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","1.08","6.962508","cubic feet","Oversize","487.37556","US","gl_lawn_and_garden","24195","154","0","30","25","119.98","839.86","2369.71","5580.9","9337.83","19","31","26","0","0","59.6","65","41","24","0","","3","0","","","","","","","","","","","","","","","","","127.1","48","Healthy","","","2026-04-27","Yes","No","127.1","79.1","2026-04-27","136","1","1","1","216","unassigned","N","","",""
"2026-04-30","SPray-1L-BG","X0048HB425","B0D3TKZJDH","VIVOSUN Handheld Garden Sprayer, 1L Pump Sprayer, 34oz Water Spray Bottle with Safety Valve, Adjustable Nozzle, Extended Spray Rod & Additional Seals, Ideal for Watering, Fertilizing, Cleaning","New","473","0","532","0","0","0","0","0","USD","86","368","716","1082","","18.99","0.0","18.99","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","2.23","0.19067","cubic feet","Standard","90.18691","US","gl_lawn_and_garden","10856","57","0","18","20","18.99","1630.64","6835.82","13425.59","20364.03","323","209","0","0","0","44.48","1262","1005","180","77","","44","4","","","","","","","","","","","","","","","","","51.6","382","Healthy","","","2026-04-27","No","No","51.6","42.0","2026-04-27","1754","19","19","6","141","unassigned","N","","",""
"2026-04-30","GB0101-2J","X002TD5FD9","B08XBRTR3P","VIVOSUN 2-Pack 5 Tier Vertical Gardening Stackable Planter for Strawberries, Flowers, Herbs, Vegetables, Brown","New","614","0","630","0","0","0","0","0","USD","41","146","324","447","","69.99","0.0","62.99","0.0","Create Outlet deal","","55.99","2","0","2793.79","0.71","1.36764","cubic feet","Oversize","839.73096","US","gl_lawn_and_garden","6162","331","0","16","17","62.99","2579.79","9356.14","20806.36","27908.03","125","111","394","0","0","393.11","1","0","0","1","","14","0","","","","","","","","","","","","","","","","","129.9","115","Healthy","","","2026-04-27","No","No","121.9","129.9","2026-04-27","621","6","7","1","333","unassigned","N","","",""
"2026-04-30","WP-331","X003RK0OAR","B0BZRX7BL8","VIVOSUN 115V Water Transfer Pump, 1/10HP 330 GPH Portable Electric Utility Pump with ON/OFF Switch and Water Hose Kit, Ideal for Removing Water from Gardens, Hot Tubs, Pools, Ponds, and More","New","407","0","429","103","0","0","0","0","USD","34","112","189","243","","59.99","0.0","53.99","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","0.52","0.238819","cubic feet","Standard","97.199333","US","gl_home_improvement","14616","169","0","28","41","53.99","1841.66","6027.38","10319.61","13424.37","161","147","121","0","0","91.61","377","296","64","17","","120","1","13","1.55","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","168.2","227","Healthy","","","2026-04-27","No","No","132.7","168.2","2026-04-27","864","80","36","4","291","unassigned","N","","",""
"2026-04-30","CL-002J","X0045CZXDT","B0CWN5D6GW","VIVOSUN Coco Liner Roll 16x120 in, 100% Natural Coconut Fiber Mat, Thickened Coir Liner for Planters, Hanging Baskets, Garden Decoration, DIY Crafts, Pet Pads & Reptile Carpet","New","0","0","1","0","0","0","0","0","USD","1","10","231","287","Low traffic","26.99","0.0","26.99","0.0","CreateShippingPlan","","0.0","0","0","0.0","2.83","0.543958","cubic feet","Standard","0.0","US","gl_home","76406","0","0","32","3","26.99","26.99","211.9","2999.19","4316.13","1","0","0","0","0","0.1","81","81","0","0","","1","0","","","","","","","","","","","","","","","","","27.4","25","Out of stock","","","2026-04-27","Yes","No","3.8","27.4","2026-04-27","81","0","0","1","122","unassigned","N","","",""
"2026-04-30","WB-1.5x100","X004DLVIFJ","B0DFLFWXG7","VIVOSUN Premium Weed Barrier Landscape Fabric Heavy Duty, 1.5ftx100ft 5oz Double-Layered Weed Control Mat with High Permeability, Commercial Ground Cover, Easy Set up & Superior Weed Control","","0","0","14","0","0","0","0","0","USD","6","72","139","161","","0.0","0.0","0.0","0.0","CreateShippingPlan","","","0","0","","4.24","0.341305","cubic feet","Oversize","0.0","US","gl_lawn_and_garden","5098","0","0","0","0","29.99","179.94","2093.28","3898.61","4514.39","14","0","0","0","0","","0","0","0","0","","12","0","","","","","","","","","","","","","","","","","27.8","174","Out of stock","299","2026-04-29","2026-04-27","Yes","No","8.8","27.8","2026-04-27","0","0","0","12","4","unassigned","N","","",""
