"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-365-plus-days","estimated-ais-365-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory-Level fee?","Low-Inventory-Level fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-04-30","SPray-15L-GK","X0028BZNWZ","B07QTHF3QK","VIVOSUN 0.4 Gallon Handheld Garden Pump Sprayer, 50 oz Gallon Lawn & Garden Pressure Water Spray Bottle with Adjustable Brass Nozzle, for Plants and Other Cleaning Solutions (1.5L Green)","New","54","0","29","0","0","0","0","CAD","33","152","212","288","","29.99","0.0","26.99","0.0","NoRestockExcessActionRequired","298","0.0","0","0","0.0","1.84","0.278562","cubic feet","Standard","15.042348","CA","gl_lawn_and_garden","759","77","0","9","15","29.99","987.17","4294.98","6035.88","8179.62","1","28","0","0","0","74.79","288","54","126","108","78","3","","","","","","","","","","","","","","","56.6","198","2026-07-09","2026-04-27","No","No","24.0","56.6","2026-04-27","415","73","1","4","96","N","","",""
"2026-04-30","VSA150SE-E25K","X003LX886H","B0BKPKKWYK","VIVOSUN Smart Grow System with the AeroLight A150SE, 150W LED Grow Light w/Integrated Circulation Fan & GrowHub Controller E25, Establish an Intelligent Grow Environment","New","1","0","5","0","0","0","0","CAD","0","0","10","10","Low conversion","159.99","0.0","159.99","0.0","NoRestockExcessActionRequired","1","0.0","0","0","0.0","8.0","0.418803","cubic feet","Standard","0.418803","CA","gl_home_improvement","17884","6","0","","14","159.99","0.0","0.0","1589.9","1589.9","5","0","0","0","0","0.19","10","10","0","0","3","0","","","","","","","","","","","","","","","","11","2026-04-29","","","","","0.9","2026-04-27","11","0","0","3","70","N","","",""
"2026-04-30","311001-2x5K","X001BA59YB","B00UBLDUBO","VIVOSUN 5-Pack 2 Gallons Heavy Duty Thickened Nonwoven Fabric Pots Grow Bags with Handles","New","77","0","121","0","0","0","0","CAD","17","53","79","95","","17.99","0.0","17.99","0.0","NoExcessInventory","237","0.0","0","0","0.0","1.68","0.098305","cubic feet","Standard","7.569485","CA","gl_home","15","366","0","14","26","17.99","305.83","948.07","1406.81","1694.65","121","0","0","0","0","22.85","120","0","40","80","81","0","","","","","","","","","","","","","","","52.4","0","","2026-04-27","No","No","28.4","52.4","2026-04-27","277","80","0","1","366","N","","",""
"2026-04-30","VSV-AZG6K","X003UGU5HP","B0C6QJVMD1","VIVOSUN AeroZesh G6 6-inch 388 CFM Inline Duct Fan, Entirely Programmable PWM-Controlled EC Fan for Grow Tent Ventilation","New","53","0","53","1","0","0","0","CAD","3","22","35","51","","129.99","0.0","129.99","0.0","NoRestockExcessActionRequired","53","0.0","0","0","0.0","0.94","0.701572","cubic feet","Oversize","37.183316","CA","gl_kitchen","29549","131","0","9","13","129.99","389.97","2698.38","4344.93","6333.77","28","12","13","0","0","23.85","0","0","0","0","1","0","","","","","","","","","","","","","","","89.8","35","2026-08-25","2026-04-27","Yes","No","74.0","89.8","2026-04-27","53","0","0","1","133","N","","",""
"2026-04-30","304113-P224K","X003Y9A86L","B0CGHDFN7T","VIVOSUN P224 24""×24""×48"" PRO Grow Tent, with Thick 1 inch Poles, Strengthened High Reflective Mylar Oxford Fabric & Extra Hanging Bars for Hydroponics Indoor Plant for AeroLight A100, No High CFM Kit","New","9","0","7","0","0","0","0","CAD","1","3","9","9","","135.99","0.0","135.99","0.0","NoRestockExcessActionRequired","10","0.0","0","0","0.0","1.44","1.211417","cubic feet","Oversize","10.902753","CA","gl_home","28600","165","0","45","49","135.99","135.99","407.97","1169.51","1169.51","2","5","0","0","0","7.29","25","10","0","15","5","0","","","","","","","","","","","","","","","84.3","18","2026-09-27","2026-04-27","Yes","No","84.3","73.5","2026-04-27","35","1","4","0","218","N","","",""
"2026-04-30","TN-44K","X003SZ0I25","B0BY2JKXC7","VIVOSUN 4 x 4Ft. Elastic Trellis Netting with 4 Hooks for Climbing Plants, Vegetables, Fruits, and Flowers, 1-Pack","New","287","0","92","94","104","0","0","CAD","8","27","46","65","","25.99","0.0","20.69","0.0","NoExcessInventory","287","0.0","0","0","43.26","0.24","0.057291","cubic feet","Standard","16.442517","CA","gl_lawn_and_garden","3472","366","0","70","95","20.69","165.52","616.93","1110.74","1597.05","91","1","0","104","0","29.07","190","190","0","0","1","1","94","3.66","101","7.87","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","348.9","0","","2026-04-27","Yes","No","296.2","348.9","2026-04-27","477","0","1","0","366","N","","",""
"2026-04-30","VSK-GIYE448-CA","X004T1GCGD","B093BJ4BKZ","VIVOSUN Grow Tent Kit, 4 × 4ft 4-Plant System, WiFi-Controlled Grow System with Full Spectrum LED Grow Light, Automatic Ventilation, GrowHub Outlet A22 with Temperature and Humidity Sensor","New","13","0","13","0","0","0","0","CAD","1","1","5","8","Low conversion","899.99","0.0","854.99","0.0","NoRestockExcessActionRequired","0","0.0","0","0","19993.13","1.04","8.09375","cubic feet","Extra-large","105.21875","CA","gl_home","25120","278","0","72","29","854.99","854.99","854.99","4184.95","6704.92","6","7","0","0","0","70.17","5","5","0","0","0","0","","","","","","","","","","","","","","","","2","2027-01-14","","","","","70.3","2026-04-27","18","0","0","0","366","N","","",""
"2026-04-30","VSL-LL400-NK","X004RRU8TB","B08GPTLSZH","VIVOSUN VS4000 LED Grow Light with Samsung LM301 Diodes &Brand Driver Dimmable Lights Sunlike Full Spectrum for Seedling Veg & Bloom Plant Grow Lamp for 4x4/5x5 Grow Tent","New","59","0","65","0","0","0","0","CAD","3","12","24","24","","459.99","0.0","459.99","0.0","NoExcessInventory","66","0.0","0","0","0.0","0.95","2.202813","cubic feet","Oversize","129.965967","CA","gl_home","8321","209","0","19","31","459.99","1379.97","5519.88","10838.83","10838.83","54","7","4","0","0","100.13","0","0","0","0","8","1","","","","","","","","","","","","","","","120.7","20","2026-11-11","2026-04-27","Yes","No","120.7","100.1","2026-04-27","66","7","1","0","210","N","","",""
"2026-04-30","VSV-AZT8JK","X004MJ1QAJ","B0F2S6ZLRK","VIVOSUN T8 8"" Inline Duct Fan & 3 Cycle Modes E12 Speed Controller, AeroZesh Grow Tent Kit Ventilation Fan with 832 CFM EC Motor, Programmable Exhaust Fan for Heating Cooling Booster, Hydroponics","New","16","0","0","0","16","0","0","CAD","2","2","2","2","","149.99","0.0","149.99","0.0","Edit listing","0","0.0","0","0","4151.28","0.06","0.893634","cubic feet","Oversize","14.298144","CA","gl_kitchen","60017","366","16","32","104","149.99","299.98","299.98","299.98","299.98","0","0","0","16","0","56.41","0","0","0","0","0","0","0","0.0","0","0.0","8","14.58","8","31.58","0","0.0","0","0.0","0","0.0","","0","","","","","","","2026-04-27","16","0","0","0","366","N","","",""
"2026-04-30","306201P-6K","X001JINFG9","B01DXYMJ94","VIVOSUN T6 6 Inch 390 CFM Inline Duct Fan with Variable Speed Controller HVAC Blower for Ventilation","New","6","0","16","0","0","0","0","CAD","5","67","172","210","","109.99","0.0","109.99","0.0","NoRestockExcessActionRequired","13","0.0","0","0","0.0","3.25","0.744785","cubic feet","Oversize","4.46871","CA","gl_kitchen","19284","12","0","11","12","109.99","549.95","7303.33","18720.28","22899.9","16","0","0","0","0","1.77","189","188","0","1","9","4","","","","","","","","","","","","","","","27.1","81","2026-04-30","2026-04-27","Yes","No","15.9","27.1","2026-04-27","202","7","2","0","169","N","","",""
